"序号","职业名称","简介","薪资区间","从业者自述/经验"
"1","押花师","用自然花材制作艺术品，常见于手工、艺术疗愈领域","5000-15000元/月","“转行后更自由，作品能带给人美好。”"
"2","森林疗愈师","带领人们走进森林，通过自然疗愈身心","1000-6000元/场","“每场活动收入不高，但幸福感很强。”"
"3","拆书师","拆解书籍内容，制作有声书或知识付费产品","5000-20000元/月","“喜欢阅读，能把爱好变成职业很满足。”"
"4","食品造型师","负责广告、摄影中食物的美观摆盘与造型","2-4万元/月","“最高月入4万，需美感和动手能力。”"
"5","宠物寄养师","为宠物主人提供临时照看、寄养服务","100-200元/晚","“喜欢动物，客户多时收入可观。”"
"6","整理收纳师","为家庭/企业提供空间整理、收纳方案","1-2万元/月","“帮人整理生活空间，自己也更有条理。”"
"7","儿童陪伴师","提供专业化儿童陪护、成长陪伴服务","1-4万元/月","“陪伴孩子成长，年薪可达84万。”"
"8","剧本杀作者","创作线下剧本杀游戏剧本","5000-20000元/月","“创意和写作能力是核心。”"
"9","颂钵疗愈师","用颂钵等乐器进行身心疗愈","300-2000元/场","“疗愈自己也疗愈他人。”"
"10","婴儿睡眠咨询师","为家庭提供婴儿睡眠科学指导","8000-20000元/月","“帮助新手爸妈解决难题，成就感强。”"
"11","宠物殡葬师","提供宠物遗体处理、安葬等服务","5000-15000元/月","“客户多为情感寄托，需共情能力。”"
"12","高报师","高考志愿填报咨询师，帮助考生科学选报志愿","1-3万元/季","“高峰期很忙，需专业知识。”"
"13","养老护理员","为老人提供日常照护、康复服务","4000-8000元/月","“服务老人很有意义，需耐心细心。”"
"14","魔术策划师","策划、表演魔术活动","1-2万元/场","“兴趣变职业，需不断创新。”"
"15","绿植主理人","经营绿植租赁、养护、空间美化服务","6000-15000元/月","“喜欢植物，客户多收入高。”"
"16","婚礼策划师","负责婚礼全流程策划与执行","8000-20000元/单","“每次婚礼都是新挑战。”"
"17","动物沟通师","通过特殊训练与宠物“沟通”，解读宠物情绪","200-1000元/次","“爱动物，需心理学知识。”"
"18","旅拍咖啡师","旅途中为客人提供咖啡服务，结合摄影、旅游","5000-15000元/月","“自由职业，体验丰富。”"
"19","养老院运营","负责养老机构的管理与服务创新","1-3万元/月","“需管理和服务能力。”"
"20","AI设计师","利用AI工具进行创意设计、内容生成","1-3万元/月","“紧跟科技潮流，需持续学习。”"
"21","花艺师","设计和制作花艺作品","8000-20000元/月","“美感和手艺都很重要。”"
"22","瑜伽老师","教授瑜伽课程，注重身心健康","6000-18000元/月","“健康生活，学员口碑好收入高。”"
"23","绘本阅读指导师","指导儿童绘本阅读，促进早期教育","4000-12000元/月","“喜欢孩子，阅读氛围好。”"
"24","家庭摄影师","为家庭拍摄生活照、纪念照","5000-20000元/月","“客户回头率高，需亲和力。”"
"25","生涯规划师","提供职业发展咨询和规划服务","1-3万元/月","“帮助他人找到方向很有成就感。”"
"26","保险经纪人","独立代理多家保险产品，提供定制服务","5000-20000元/月","“收入与客户量成正比。”"
"27","儿童瑜伽老师","教授儿童专属瑜伽课程","4000-12000元/月","“需耐心和创新教学方法。”"
"28","自然教育指导师","组织自然体验活动，普及生态知识","4000-15000元/月","“热爱自然，活动多样。”"
"29","塔罗师","用塔罗牌为客户解读情感、事业等问题","5000-20000元/月","“客户多为年轻人。”"
"30","芳疗师","用精油等自然疗法调理身心","6000-20000元/月","“需专业认证和实践经验。”"
"31","调香师","设计和调制香水、香氛产品","8000-25000元/月","“嗅觉敏锐，需不断创新。”"
"32","海娜师","用海娜为客户绘制临时纹身","3000-12000元/月","“手艺和审美决定收入。”"
"33","制香师","制作手工香品、香薰产品","4000-15000元/月","“需了解多种香料和工艺。”"
"34","玛雅天赋解读师","结合玛雅历法为客户解读性格、运势","3000-10000元/月","“属于小众玄学职业。”"
"35","汉服设计师","设计、制作传统汉服","6000-20000元/月","“热爱传统文化，需手工能力。”"
"36","儿童派对策划师","策划儿童生日、节日等主题派对","4000-15000元/单","“创意和组织能力强。”"
"37","非遗文化讲师","传授非遗技艺和文化知识","4000-12000元/月","“需深厚文化底蕴。”"
"38","形象管理师","提供个人形象设计与管理服务","8000-20000元/月","“客户多为职场人士。”"
"39","穿戴甲美甲师","设计、制作可拆卸穿戴美甲","4000-15000元/月","“新兴美业细分。”"
"40","西塔疗愈师","用西塔波音乐进行身心疗愈","300-2000元/场","“需音乐和心理学知识。”"
"41","对外汉语老师","教外国人中文，推广汉语文化","8000-25000元/月","“需外语和教学能力。”"
"42","奢侈品鉴定师","鉴定奢侈品真伪，提供估价服务","1-3万元/月","“需专业培训和经验。”"
"43","唐卡画师","绘制藏族唐卡艺术品","6000-20000元/月","“需美术和宗教知识。”"
"44","自由撰稿人","独立写作，承接稿件或专栏","4000-20000元/月","“稿费波动大，自由度高。”"
"45","宠物摄影师","专业为宠物拍摄写真、纪念照","5000-15000元/月","“需抓拍宠物瞬间。”"
"46","花卉粘土手作人","用粘土制作仿真花卉艺术品","3000-12000元/月","“手工艺细腻，作品可定制。”"
"47","儿童剧游作者","创作儿童剧本杀、剧游活动内容","4000-12000元/月","“需了解儿童心理。”"
"48","书店主理人","经营特色书店，策划文化活动","4000-15000元/月","“需选书和活动策划能力。”"
"49","自由插画师","独立绘制插画，承接稿件或产品设计","4000-20000元/月","“需持续积累作品。”"
"50","策展人","策划、组织艺术展览","8000-20000元/月","“需艺术和管理能力。”"
"51","营地导师","组织户外营地活动，带领团队体验自然","4000-15000元/月","“热爱户外，活动多样。”"
"52","知识可视化设计师","用图形化方式展示复杂知识内容","8000-20000元/月","“需设计和逻辑能力。”"
"53","占星师","用占星术为客户解读命运、性格","5000-20000元/月","“客户多为年轻女性。”"
"54","艺术疗愈师","通过艺术活动帮助他人调节情绪","4000-15000元/月","“需心理学和艺术背景。”"
"55","中医师","采用传统中医方法为客户调理健康","8000-25000元/月","“需医师资格证。”"
"56","催眠师","用催眠技术帮助客户改善心理问题","6000-20000元/月","“需专业认证。”"
"57","宠托师","提供宠物临时托管和照顾服务","100-200元/天","“需爱心和责任心。”"
"58","亲子活动策划师","策划亲子互动活动，促进家庭关系","4000-15000元/月","“需创意和组织能力。”"
"59","有声书主播","为有声书平台录制、配音","4000-20000元/月","“需声音表现力。”"
"60","音乐治疗师","用音乐辅助心理治疗","6000-20000元/月","“需音乐和心理学知识。”"
"61","旅行规划师","为客户定制旅行路线和方案","5000-20000元/月","“需了解目的地和客户需求。”"
"62","农场运营人","管理特色农场，组织采摘、体验活动","4000-15000元/月","“需农业和管理知识。”"
"63","纪录片导演","拍摄、制作纪录片","8000-25000元/月","“需拍摄和策划能力。”"
"64","舞室主理人","经营舞蹈工作室，组织课程和活动","6000-20000元/月","“需舞蹈和管理能力。”"
"65","婚礼管家","负责婚礼全流程的细节管理与服务","8000-20000元/单","“需细致和服务意识。”"
"66","画室主理人","经营美术画室，组织教学和展览","6000-20000元/月","“需美术和管理能力。”"
"67","脱口秀演员","表演脱口秀节目，参与演出和创作","4000-20000元/场","“需幽默感和舞台经验。”"
"68","戏剧疗愈师","用戏剧活动辅助心理治疗","300-2000元/场","“需戏剧和心理学知识。”"
"69","言语康复师","帮助有言语障碍的人群康复","5000-20000元/月","“需专业医学背景。”"
"70","装置艺术家","创作大型空间艺术装置","8000-25000元/月","“需美术和空间设计能力。”"
"71","宠物美容师","为宠物提供美容、洗护服务","4000-15000元/月","“需手艺和耐心。”"
"72","人生教练","提供个人成长、目标实现辅导","8000-20000元/月","“需心理学和沟通能力。”"
"73","生命数字解读师","用数字解读个人性格和命运","3000-10000元/月","“小众玄学职业。”"
"74","陪诊师","陪同患者就医，协助挂号、取药等","100-500元/次","“需耐心和责任心。”"
"75","木艺手作人","手工制作木制工艺品","4000-15000元/月","“需木工和设计能力。”"
"76","玩具设计师","设计、开发各类玩具产品","6000-20000元/月","“需创意和市场敏感度。”"
"77","少儿口才老师","教授儿童口才、表达课程","4000-12000元/月","“需教学和表达能力。”"
"78","花道疗愈师","用插花活动辅助心理疗愈","300-2000元/场","“需花艺和心理学知识。”"
"79","芳香疗愈师","用香氛产品进行身心疗愈","4000-15000元/月","“需芳疗认证。”"
"80","手作创业顾问","指导手工艺创业者开展业务","8000-20000元/月","“需创业和手艺经验。”"
"81","剧照摄影师","拍摄戏剧、影视剧照","5000-20000元/月","“需抓拍能力和艺术感。”"
"82","高端家教","提供一对一高端家庭教育服务","1-3万元/月","“需专业知识和耐心。”"
"83","宠物创业顾问","指导宠物行业创业者","8000-20000元/月","“需行业经验。”"
"84","倾听师","提供倾听和心理疏导服务","100-300元/次","“需共情和沟通能力。”"
"85","入殓师","负责遗体整理、入殓服务","6000-15000元/月","“需心理承受力和专业技能。”"
"86","心灵音乐人","创作、演奏疗愈音乐","4000-15000元/月","“需音乐和心理学知识。”"
"87","婚礼主持人","主持婚礼仪式，调动气氛","5000-20000元/场","“需表达和控场能力。”"
"88","旅行咖啡师","旅途中为客人提供咖啡服务，结合旅游体验","5000-15000元/月","“自由职业，体验丰富。”"
"89","香气手作人","制作香薰、香包等手工艺品","4000-12000元/月","“需手艺和嗅觉敏感。”"
"90","直播间布景师","设计和布置直播间场景","6000-20000元/月","“需空间设计和美学能力。”"
"91","游戏捏脸师","为玩家定制虚拟角色外观","4000-15000元/月","“需美术和软件操作能力。”"
"92","手机入殓师","为废弃手机做艺术化处理","4000-12000元/月","“新兴环保职业。”"
"93","多肉寄养师","帮人照料多肉植物","100-300元/盆/月","“需养护经验和爱心。”"
"94","剧本杀主持人","主持剧本杀活动，带领玩家体验剧情","4000-15000元/月","“需控场和表演能力。”"
"95","直播运营师","负责直播内容策划与运营","8000-20000元/月","“需内容策划和数据分析能力。”"
"96","养老规划师","为家庭或个人提供养老方案设计","8000-20000元/月","“需政策和财务知识。”"
"97","养老院讲师","在养老院为老人授课、组织活动","4000-12000元/月","“需耐心和教学能力。”"
"98","剧本杀道具师","设计、制作剧本杀专用道具","4000-15000元/月","“需手工和创意。”"
"99","亲子游策划师","策划亲子旅游路线和活动","5000-20000元/月","“需亲子和旅游资源整合能力。”"
"100","养老院心理师","为养老院老人提供心理疏导服务","5000-15000元/月","“需心理学背景和耐心。”"